Network Diagram
Discovered Devices:
IP Address           MAC Address          Hostname            
10.16.137.98         98:43:FA:48:8F:FA    Intel Corporate     
10.16.137.100        D8:9C:67:C5:CF:85    Hon Hai Precision Ind.
10.16.137.104        DC:21:48:86:C0:31    Intel Corporate     
10.16.137.105        C0:E4:34:C1:C8:1B    AzureWave Technology
10.16.137.107        B8:1E:A4:9E:D4:C3    Liteon Technology   
10.16.137.112        F8:A2:D6:A3:24:2D    Liteon Technology   
10.16.137.113        B4:B5:B6:8A:3A:FF    Chongqing Fugui Electronics
10.16.137.114        0C:04:63:81:D6:CF    Unknown             
10.16.137.115        28:C5:D2:8F:32:66    Intel Corporate     
10.16.137.116        A8:41:F4:BC:CE:92    AzureWave Technology
10.16.137.117        F8:E4:E3:5B:FB:F3    Intel Corporate     
10.16.137.119        A8:93:4A:02:D3:E1    Chongqing Fugui Electronics
10.16.137.121        00:41:0E:93:A3:8F    Cloud Network Technology Singapore PTE.
10.16.137.125        E0:2E:0B:7F:78:5D    Intel Corporate     
10.16.137.128        D8:F3:BC:6F:3F:A1    Liteon Technology   
10.16.137.129        B6:26:E9:10:0B:9A    Unknown             
10.16.137.131        7C:67:A2:C2:53:B2    Intel Corporate     
10.16.137.133        BC:03:58:58:64:DE    Intel Corporate     
10.16.137.134        40:B8:9A:F2:45:E3    Hon Hai Precision Ind.
10.16.137.135        7C:21:4A:33:FF:81    Intel Corporate     
10.16.137.136        50:98:39:45:66:2C    Xiaomi Communications
10.16.137.137        C4:35:D9:9C:48:56    Apple               
10.16.137.138        B2:41:17:2D:A0:42    Unknown             
10.16.137.139        B4:B5:B6:89:A6:5F    Chongqing Fugui Electronics
10.16.137.140        C8:5E:A9:04:DE:68    Intel Corporate     
10.16.137.141        F6:8E:3F:A2:BA:D0    Unknown             
10.16.137.143        5E:79:6E:33:57:CF    Unknown             
10.16.137.144        D0:AB:D5:F5:6D:2E    Intel Corporate     
10.16.137.149        14:13:33:01:F2:C5    AzureWave Technology
10.16.137.151        B8:1E:A4:C2:A8:31    Liteon Technology   
10.16.137.153        E4:0D:36:DC:BB:17    Intel Corporate     
10.16.137.154        E8:F4:08:3A:70:0F    Intel Corporate     
10.16.137.155        8A:77:B3:35:E0:43    Unknown             
10.16.137.161        A0:40:4B:56:2F:D8    Unknown             
10.16.137.162        20:16:B9:49:69:A7    Intel Corporate     
10.16.137.164        44:85:00:A5:13:5B    Intel Corporate     
10.16.137.167        A8:93:4A:9C:29:D7    Chongqing Fugui Electronics
10.16.137.168        54:8D:5A:F1:1C:6A    Intel Corporate     
10.16.137.169        E6:6F:E0:F8:B1:74    Unknown             
10.16.137.170        A0:22:DE:A6:22:E3    vivo Mobile Communication
10.16.137.171        42:74:0D:FC:3C:75    Unknown             
10.16.137.172        B2:75:3D:88:F0:B1    Unknown             
10.16.137.174        76:A7:F4:BF:C4:C6    Unknown             
10.16.137.175        BA:92:30:53:0C:9A    Unknown             
10.16.137.176        94:53:30:C4:5C:6F    Hon Hai Precision Ind.
10.16.137.177        A2:AE:CA:CF:17:09    Unknown             
10.16.137.178        06:0E:64:A6:61:21    Unknown             
10.16.137.179        0A:0A:45:05:F7:1C    Unknown             
10.16.137.180        90:61:AE:D0:D3:BA    Intel Corporate     
10.16.137.181        4C:D5:77:D1:A6:1B    Chongqing Fugui Electronics
10.16.137.182        60:3E:5F:05:78:35    Apple               
